fips,county,state_name,state_abbr,svi,risk,ml_risk
12059,Holmes County,Florida,FL,0.8081,0.2424,0.0
12061,Indian River County,Florida,FL,0.5145,0.1543,0.0
12063,Jackson County,Florida,FL,0.8085,0.2426,0.0
12065,Jefferson County,Florida,FL,0.7439,0.2232,0.0
12067,Lafayette County,Florida,FL,0.8409,0.2523,0.0
12069,Lake County,Florida,FL,0.6214,0.1864,0.0
12071,Lee County,Florida,FL,0.7086,0.2126,0.0
12073,Leon County,Florida,FL,0.6952,0.2086,0.0
12075,Levy County,Florida,FL,0.7582,0.2275,0.0
12077,Liberty County,Florida,FL,0.8266,0.248,0.0
12079,Madison County,Florida,FL,0.8638,0.2591,0.0
12081,Manatee County,Florida,FL,0.6332,0.19,0.0
12083,Marion County,Florida,FL,0.8196,0.2459,0.0
12085,Martin County,Florida,FL,0.4642,0.1393,0.0
12086,Miami-Dade County,Florida,FL,0.881,0.2643,0.0
12087,Monroe County,Florida,FL,0.6822,0.2047,0.0
12089,Nassau County,Florida,FL,0.2539,0.0762,0.0
12091,Okaloosa County,Florida,FL,0.5266,0.158,0.0
12093,Okeechobee County,Florida,FL,0.9637,0.2891,0.0
12095,Orange County,Florida,FL,0.7951,0.2385,0.0
12097,Osceola County,Florida,FL,0.8307,0.2492,0.0
12099,Palm Beach County,Florida,FL,0.8008,0.2402,0.0
12101,Pasco County,Florida,FL,0.7041,0.2112,0.0
12103,Pinellas County,Florida,FL,0.7095,0.2128,0.0
12105,Polk County,Florida,FL,0.8912,0.2674,0.0
12107,Putnam County,Florida,FL,0.9835,0.295,0.0
12109,St. Johns County,Florida,FL,0.1266,0.038,0.0
12111,St. Lucie County,Florida,FL,0.7906,0.2372,0.0
12113,Santa Rosa County,Florida,FL,0.3213,0.0964,0.0
12115,Sarasota County,Florida,FL,0.3653,0.1096,0.0
12117,Seminole County,Florida,FL,0.3996,0.1199,0.0
12119,Sumter County,Florida,FL,0.3026,0.0908,0.0
12121,Suwannee County,Florida,FL,0.8457,0.2537,0.0
12123,Taylor County,Florida,FL,0.8062,0.2419,0.0
12125,Union County,Florida,FL,0.6669,0.2001,0.0
12127,Volusia County,Florida,FL,0.6987,0.2096,0.0
12129,Wakulla County,Florida,FL,0.3058,0.0917,0.0
12131,Walton County,Florida,FL,0.6287,0.1886,0.0
12133,Washington County,Florida,FL,0.8043,0.2413,0.0
13001,Appling County,Georgia,GA,0.9122,0.2737,0.0
